代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	
000001	平安银行	-0.15	13.60	-0.02	13.60	13.61	620163	4954	          0.07	          1.11	13.80	13.89	13.56	13.62	     7.15	850388544	  1.17	银行	深圳	 2.42	13.71	
000002	万  科Ａ	0.81	8.76	0.07	8.75	8.76	833611	4911	          0.11	          0.86	8.70	8.84	8.66	8.69	    11.75	731698944	  1.07	全国地产	深圳	 2.07	8.78	
000004	国农科技	0.97	12.51	0.12	12.51	12.52	14216	108	          0.08	          1.69	12.39	12.56	12.34	12.39	   887.29	17745096	  1.32	生物制药	深圳	 1.78	12.48	
000005	世纪星源	0.38	2.66	0.01	2.65	2.66	54141	234	          0.37	          0.59	2.65	2.68	2.62	2.65	--  	14354608	  0.47	区域地产	深圳	 2.26	2.65	
000006	深振业Ａ	-0.52	5.79	-0.03	5.79	5.80	280801	821	          0.00	          2.10	5.80	5.85	5.56	5.82	    16.32	159676320	  1.19	区域地产	深圳	 4.98	5.69	
000007	零七股份	-0.49	14.16	-0.07	14.16	14.17	14309	149	         -0.07	          0.77	14.22	14.28	14.07	14.23	    62.51	20236122	  0.62	酒店餐饮	深圳	 1.48	14.14	
000008	宝利来	2.76	10.05	0.27	10.04	10.05	14906	533	          0.19	          1.01	9.78	10.05	9.77	9.78	   134.42	14750526	  0.99	综合类	深圳	 2.86	9.90	
000009	中国宝安	1.35	9.79	0.13	9.78	9.79	130957	2705	          0.10	          1.05	9.70	9.84	9.63	9.66	    29.66	127597144	  0.60	全国地产	深圳	 2.17	9.74	
000010	深华新	-2.20	7.54	-0.17	7.54	7.55	83480	788	         -0.13	          3.08	7.68	7.74	7.52	7.71	   377.05	63266564	  1.05	建筑施工	北京	 2.85	7.58	
000011	深物业A	-0.38	7.93	-0.03	7.92	7.93	21368	4	          0.25	          1.22	7.98	8.02	7.90	7.96	     9.95	16974460	  0.68	区域地产	深圳	 1.51	7.94	
